Name,Docs,Tag,Crit,Status,Error,ElapsedTime,Failure
Build 1 . 0 . 0 . 274 . ECB-460 Add and Delete DALI Devices on DALI Line . C2980: Delete DALI Devices on a DALI Line as Admin,Delete C-Bus DALI Device on a DALI line as Admin Aim: To validate deleting C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,ADeleteDALIDevice_Admin,yes,FAIL,Error raised since network selection was not verified,373.9,1
Build 1 . 0 . 0 . 274 . ECB-54 View Networks In The Project Suite . C2072: Admin View Networks in the Project,View Networks in the project with Admin account Aim: To validate viewing networks in the project with a Admin account Author: Aniruddha Sankoli,C2072,yes,FAIL,Error raised since searched network name did not match desired network Beatles,217.3,1
Build 1 . 0 . 0 . 274 . ECB-56 Create CBus Network Suite . C18833: Admin Create a C-bus Network- Ethernet-Automation controller,Create Networks with Ethernet-Automation in the project with Project Manager account Aim: To validate creating networks in the project with a Project Manager account Author: Aniruddha Sankoli,C18833,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",89.9,0
Build 1 . 0 . 0 . 274 . ECB-58 Edit Selected cBus Network . C5144: Edit the selected C-Bus Network,"Design workspace, edit C-Bus Newtwork Aim: To validate editing C-Bus network in Design worksapce Author: Aniruddha Sankoli",C5144,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",30.0,0
Build 1 . 0 . 0 . 274 . ECB-59 Delete Selected C-Bus Network Suite . C2954: Delete the selected C-Bus Network as admin,Delete Network in the project with Admin account Aim: To validate deleting networks in the project with an Admin account Author: Aniruddha Sankoli,C2954,yes,FAIL,Error raised since network selection was not verified,354.8,1
Build 1 . 0 . 0 . 274 . ECB-609 View C-Bus Fixture Library Suite . C2958: View C-Bus Fixture Library as Admin,View C-Bus Fixture Library in the project with Admin account Aim: To validate viewing C-Bus Fixture Library in the project with a Worker account Author: Aniruddha Sankoli,C2958,yes,FAIL,Error raised since the Fixture list was not initially sorted in ascending order,265.4,1
Build 1 . 0 . 0 . 274 . ECB-610 Add C-Bus Devices to Network using selected Fixture Entry . C2974: Add C-Bus Devices to Network using selected Fixture Entry as Admin,Add C-Bus Devices to Network using selected Fixture Entry with Admin account Aim: To validate adding C-Bus Devices to Network using selected Fixture Entry with a Admin account Author: Aniruddha Sankoli,AddcBusDevice_Admin,yes,FAIL,Error raised since C-Bus Network Automation Controller not found in Library C-bus devices list,235.7,1
Build 1 . 0 . 0 . 274 . ECB-611 Delete CBus Device from a Network . C3538: Delete C-Bus Device from a Network as admin,Delete C-Bus Device from a Network as admin Aim: To validate deleting C-Bus Device from a Network as admin Author: Aniruddha Sankoli,C3538,yes,FAIL,Device 'C-Bus DALI-2 Gateway #4' not found in device list,1003.8,1
Build 1 . 0 . 0 . 274 . ECB-613 View DALI Fixture Library Suite . C2983: View DALI Fixture Library as admin,View DALI Fixture Library in the project with Admin account Aim: To validate viewing DALI Fixture Library in the project with a Worker account Author: Aniruddha Sankoli,C2983,yes,FAIL,Error raised since the Fixture list was not initially sorted in ascending order,350.2,1
Build 1 . 0 . 0 . 274 . ECB-628 Deployment Open Network Using CBus Network Interface Suite . C8964: [Deployment] Open Network using C-Bus Network Interface,Deployment- Open Network using C-Bus Network Interface Aim: To validate opening Network in Deployment using C-Bus Network Interface Author: Aniruddha Sankoli,C8964,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,288.9,1
Build 1 . 0 . 0 . 274 . ECB-661 ECB-458 View DALI Lines for a DALI Gateway . C2971: View DALI Lines for a DALI Gateway as admin,View DALI Lines for a DALI Gateway as admin Aim: To validate viewing DALI Lines for a DALI Gateway as admin Author: Aniruddha Sankoli,C2971,yes,FAIL,Error raised since DALI Line A number does not match corresponding number of created DALI Gateway Devices,601.4,0
Build 1 . 0 . 0 . 274 . ECB-694 Logging Settings Suite . C2986: Logging Settings-Default,Logging Settings-Default Aim: To validate that default for Logging Settings is Information Author: Aniruddha Sankoli,C2986,yes,FAIL,"LookupError: Find Control Timeout: {Name: 'Schneider Electric', ControlType: TreeItemControl}",117.6,0
Build 1 . 0 . 0 . 274 . ECB-842 Deployment Start a CBus Network Scan and Status of CBus Network Scan Phase 1 Suite . C4559: [Deployment] Display Live C-Bus Devices and status of C-Bus Network Scan Phase 1,Display Live C-Bus Devices and status of C-Bus Network Scan Phase 1 Aim: To validate display of Live C-Bus Devices and status of C-Bus Network Scan Phase 1 Author: Aniruddha Sankoli,C4559,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,380.8,1
Build 1 . 0 . 0 . 274 . ECB-842 Deployment Start a CBus Network Scan and Status of CBus Network Scan Phase 1 Suite . C4561: [Deployment] Start a C-bus Network Scan Phase 1 as admin With Null IP then provide IP and scan,Start a C-bus Network Scan Phase 1 as admin With Null IP then provide IP and scan Aim: To validate starting a C-bus Network Scan Phase 1 as admin With Null IP then provide IP and scan Author: Aniruddha Sankoli,C4561,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,375.0,1
Build 1 . 0 . 0 . 274 . ECB-862 Deployment Display incremental updates to CBus Network Scan Phase 1 Suite . C8967: [Deployment] Display incremental updates to C-Bus Network Scan Phase 1,Display incremental updates to C-Bus Network Scan Phase 1 Aim: To validate closing C-bus Network (forcing a disconnect) Author: Aniruddha Sankoli,C8967,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,378.6,1
Build 1 . 0 . 0 . 274 . ECB-89 View Devices for a C-Bus Network . C2048: View devices for a C-Bus Network as Admin,View devices for a C-Bus Network as Admin Aim: To validate viewing devices for a C-Bus Network as Admin Author: Aniruddha Sankoli,C2048,yes,FAIL,Error raised since sorting reset of columns could not be verified,1262.9,1
Build 1 . 0 . 0 . 274 . ECB-943 Deployment Close Cbus Network Suite . C5176: [Deployment] Close C-bus Network (forcing a disconnect),Close C-bus Network (forcing a disconnect) Aim: To validate closing C-bus Network (forcing a disconnect) Author: Aniruddha Sankoli,C5176,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,288.7,1
Build 1 . 0 . 0 . 274 . ECB-983 Project Explorer Networks Suite . C5099: Project Explorer- Networks,Project Explorer- Networks Aim: To validate network operations in Project Explorer tools tab Author: Aniruddha Sankoli,C5099,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'ExplorerToolWindow', ControlType: PaneControl}",339.7,1
Build 1 . 0 . 0 . 275 . ECB-1095 View Devices in Design Workspace Suite . C5098: Tool Window- Project Explorer,Tool Window - Project Explorer Aim: To validate Library panel operations Author: Aniruddha Sankoli,C5098,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'PART_ColumnHeadersPresenter', ControlType: HeaderControl}",608.5,0
Build 1 . 0 . 0 . 275 . ECB-1384 Readdress Live Device in Reconciliation View Suite . C10939: [Deployment] Re-address Live Device in Reconciliation View,Deployment- Re-address Live Device in Reconciliation View Aim: To validate re-address Live Device in Reconciliation View Author: Aniruddha Sankoli,C10939,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,279.2,1
Build 1 . 0 . 0 . 275 . ECB-14 Exit Suite . C1589: Verification of exit procedures for software,Name: To verify close application feature under different conditions Aim: To test exit methods before and after login Author: Aniruddha Sankoli,C1589,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",29.6,0
Build 1 . 0 . 0 . 275 . ECB-31 New Project Suite . C1578: Create a new project when project is already open,Create a new project when project is already open Aim: To validate creation of new project when project is already open Author: Aniruddha Sankoli,C1578,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",30.1,0
Build 1 . 0 . 0 . 275 . ECB-32 Delete A Project Suite . C2993: Delete Project,Delete a Project as Admin Aim: To validate deleting a project as Admin Author: Aniruddha Sankoli,C2993,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",29.8,0
Build 1 . 0 . 0 . 275 . ECB-34 Edit A Project suite . C1596: Edit a project,Edit a project Aim: To validate editing of project Author: Aniruddha Sankoli,C1596,yes,FAIL,Error raised since Project Description is read only and thus not editable,112.7,1
Build 1 . 0 . 0 . 275 . ECB-410 Open Project Filter Suite . C2055: Open Project Search field by opening project by hamburger menu,Name: Open Project Search field by opening project by hamburger menu Aim: To validate searching porject in Hamburger Menu Author: Aniruddha Sankoli,C2055,yes,FAIL,IndexError: list index out of range,163.5,0
Build 1 . 0 . 0 . 275 . ECB-410 Open Project Filter Suite . C6156: Open Project Search field by opening project by main screen menu,Name: Open Project Search field by opening project by main screen menu Aim: To validate searching porject in Main Screen Menu Author: Aniruddha Sankoli,C6156,yes,FAIL,IndexError: list index out of range,213.9,0
Build 1 . 0 . 0 . 275 . ECB-459 View DALI Devices on DALI Line Suite . C3020: View DALI Devices on a DALI Line as Admin,View C-Bus DALI Device on a DALI line as Admin Aim: To validate viewing C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,C3020,yes,FAIL,Error raised since DaliLine 'C-Bus DALI-2 Gateway #2 Line A' not found in Network 'Aerosmith',1040.5,0
Build 1 . 0 . 0 . 275 . ECB-460 Add and Delete DALI Devices on DALI Line . C2977: Add DALI Devices on a DALI Line as Admin,Add C-Bus DALI Device on a DALI line as Admin Aim: To validate adding C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,AddDALIDevice_Admin,yes,FAIL,Error raised since network selection was not verified,361.7,1
Build 1 . 0 . 0 . 275 . ECB-460 Add and Delete DALI Devices on DALI Line . C2980: Delete DALI Devices on a DALI Line as Admin,Delete C-Bus DALI Device on a DALI line as Admin Aim: To validate deleting C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,ADeleteDALIDevice_Admin,yes,FAIL,Error raised since network selection was not verified,362.9,1
Build 1 . 0 . 0 . 275 . ECB-54 View Networks In The Project Suite . C2072: Admin View Networks in the Project,View Networks in the project with Admin account Aim: To validate viewing networks in the project with a Admin account Author: Aniruddha Sankoli,C2072,yes,FAIL,Error raised since searched network name did not match desired network Beatles,212.8,1
Build 1 . 0 . 0 . 275 . ECB-56 Create CBus Network Suite . C18833: Admin Create a C-bus Network- Ethernet-Automation controller,Create Networks with Ethernet-Automation in the project with Project Manager account Aim: To validate creating networks in the project with a Project Manager account Author: Aniruddha Sankoli,C18833,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",89.9,0
Build 1 . 0 . 0 . 275 . ECB-58 Edit Selected cBus Network . C5144: Edit the selected C-Bus Network,"Design workspace, edit C-Bus Newtwork Aim: To validate editing C-Bus network in Design worksapce Author: Aniruddha Sankoli",C5144,yes,FAIL,Error raised since network was found to accept empty name field,271.2,1
Build 1 . 0 . 0 . 275 . ECB-59 Delete Selected C-Bus Network Suite . C2954: Delete the selected C-Bus Network as admin,Delete Network in the project with Admin account Aim: To validate deleting networks in the project with an Admin account Author: Aniruddha Sankoli,C2954,yes,FAIL,Error raised since network selection was not verified,338.6,1
Build 1 . 0 . 0 . 275 . ECB-609 View C-Bus Fixture Library Suite . C2958: View C-Bus Fixture Library as Admin,View C-Bus Fixture Library in the project with Admin account Aim: To validate viewing C-Bus Fixture Library in the project with a Worker account Author: Aniruddha Sankoli,C2958,yes,FAIL,Error raised since the Fixture list was not initially sorted in ascending order,253.0,1
Build 1 . 0 . 0 . 275 . ECB-610 Add C-Bus Devices to Network using selected Fixture Entry . C2974: Add C-Bus Devices to Network using selected Fixture Entry as Admin,Add C-Bus Devices to Network using selected Fixture Entry with Admin account Aim: To validate adding C-Bus Devices to Network using selected Fixture Entry with a Admin account Author: Aniruddha Sankoli,AddcBusDevice_Admin,yes,FAIL,Error raised since Wiser for C-Bus Network Automation Controller not found in Library C-bus devices list,220.2,1
Build 1 . 0 . 0 . 275 . ECB-611 Delete CBus Device from a Network . C3538: Delete C-Bus Device from a Network as admin,Delete C-Bus Device from a Network as admin Aim: To validate deleting C-Bus Device from a Network as admin Author: Aniruddha Sankoli,C3538,yes,FAIL,Device 'C-Bus DALI-2 Gateway #4' not found in device list,960.2,1
Build 1 . 0 . 0 . 275 . ECB-613 View DALI Fixture Library Suite . C2983: View DALI Fixture Library as admin,View DALI Fixture Library in the project with Admin account Aim: To validate viewing DALI Fixture Library in the project with a Worker account Author: Aniruddha Sankoli,C2983,yes,FAIL,Error raised since the Fixture list was not initially sorted in ascending order,339.0,1
Build 1 . 0 . 0 . 275 . ECB-628 Deployment Open Network Using CBus Network Interface Suite . C8964: [Deployment] Open Network using C-Bus Network Interface,Deployment- Open Network using C-Bus Network Interface Aim: To validate opening Network in Deployment using C-Bus Network Interface Author: Aniruddha Sankoli,C8964,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,267.7,1
Build 1 . 0 . 0 . 275 . ECB-661 ECB-458 View DALI Lines for a DALI Gateway . C2971: View DALI Lines for a DALI Gateway as admin,View DALI Lines for a DALI Gateway as admin Aim: To validate viewing DALI Lines for a DALI Gateway as admin Author: Aniruddha Sankoli,C2971,yes,FAIL,Error raised since DALI Line A number does not match corresponding number of created DALI Gateway Devices,576.3,0
Build 1 . 0 . 0 . 275 . ECB-694 Logging Settings Suite . C2986: Logging Settings-Default,Logging Settings-Default Aim: To validate that default for Logging Settings is Information Author: Aniruddha Sankoli,C2986,yes,FAIL,"LookupError: Find Control Timeout: {Name: 'Schneider Electric', ControlType: TreeItemControl}",107.2,0
Build 1 . 0 . 0 . 275 . ECB-694 Logging Settings Suite . C2991: Logging Settings- Error,Logging Settings-Error Aim: To validate Logging operations on Error Logging Level Settings Author: Aniruddha Sankoli,C2991,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",30.4,0
Build 1 . 0 . 0 . 275 . ECB-842 Deployment Start a CBus Network Scan and Status of CBus Network Scan Phase 1 Suite . C4559: [Deployment] Display Live C-Bus Devices and status of C-Bus Network Scan Phase 1,Display Live C-Bus Devices and status of C-Bus Network Scan Phase 1 Aim: To validate display of Live C-Bus Devices and status of C-Bus Network Scan Phase 1 Author: Aniruddha Sankoli,C4559,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,364.5,1
Build 1 . 0 . 0 . 275 . ECB-842 Deployment Start a CBus Network Scan and Status of CBus Network Scan Phase 1 Suite . C4561: [Deployment] Start a C-bus Network Scan Phase 1 as admin With Null IP then provide IP and scan,Start a C-bus Network Scan Phase 1 as admin With Null IP then provide IP and scan Aim: To validate starting a C-bus Network Scan Phase 1 as admin With Null IP then provide IP and scan Author: Aniruddha Sankoli,C4561,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,369.5,1
Build 1 . 0 . 0 . 275 . ECB-862 Deployment Display incremental updates to CBus Network Scan Phase 1 Suite . C8967: [Deployment] Display incremental updates to C-Bus Network Scan Phase 1,Display incremental updates to C-Bus Network Scan Phase 1 Aim: To validate closing C-bus Network (forcing a disconnect) Author: Aniruddha Sankoli,C8967,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,366.7,1
Build 1 . 0 . 0 . 275 . ECB-89 View Devices for a C-Bus Network . C2048: View devices for a C-Bus Network as Admin,View devices for a C-Bus Network as Admin Aim: To validate viewing devices for a C-Bus Network as Admin Author: Aniruddha Sankoli,C2048,yes,FAIL,Error raised since sorting reset of columns could not be verified,1214.5,1
Build 1 . 0 . 0 . 275 . ECB-943 Deployment Close Cbus Network Suite . C5176: [Deployment] Close C-bus Network (forcing a disconnect),Close C-bus Network (forcing a disconnect) Aim: To validate closing C-bus Network (forcing a disconnect) Author: Aniruddha Sankoli,C5176,yes,FAIL,Device 'C-Bus Network Interface Mk II (C-Bus) #1' not found,274.2,1
Build 1 . 0 . 0 . 275 . ECB-983 Project Explorer Networks Suite . C5099: Project Explorer- Networks,Project Explorer- Networks Aim: To validate network operations in Project Explorer tools tab Author: Aniruddha Sankoli,C5099,yes,FAIL,Error raised since first network name does not match network search,475.5,1
Build 1 . 0 . 0 . 275 . ECB-985 Tool Window Properties Suite . C5100: Tool Window- Properties Toolbar,Tool Window - Pproperties Toolbar Aim: To validate Library panel operations Author: Aniruddha Sankoli,C5100,yes,FAIL,"LookupError: Find Control Timeout: {ClassName: 'Window', Name: 'SpaceLogic C-Bus Commission', Desc: '', ControlType: WindowControl}",29.8,0
Build 1 . 0 . 0 . 276 . ECB-1095 View Devices in Design Workspace Suite . C5098: Tool Window- Project Explorer,Tool Window - Project Explorer Aim: To validate Library panel operations Author: Aniruddha Sankoli,C5098,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",96.5,0
Build 1 . 0 . 0 . 276 . ECB-112 About Screen Suite . C1585: About Screen,Name:To access about screen and verify parameters Aim: To validate information present on about screen Author: Aniruddha Sankoli,AboutScreen,yes,FAIL,Error raised since Software Version on about window did not match expected Version number Version 1.0.0.275,31.2,0
Build 1 . 0 . 0 . 276 . ECB-1383 Implement Interim Single User Mode Suite . C9385: Implement Interim Single User Mode,Name: Implement Interim Single User Mode Aim: To implement interim Author: Aniruddha Sankoli,C9385,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",109.2,0
Build 1 . 0 . 0 . 276 . ECB-1384 Readdress Live Device in Reconciliation View Suite . C10939: [Deployment] Re-address Live Device in Reconciliation View,Deployment- Re-address Live Device in Reconciliation View Aim: To validate re-address Live Device in Reconciliation View Author: Aniruddha Sankoli,C10939,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.9,0
Build 1 . 0 . 0 . 276 . ECB-32 Delete A Project Suite . C2993: Delete Project,Delete a Project as Admin Aim: To validate deleting a project as Admin Author: Aniruddha Sankoli,C2993,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'PART_YesButton', ControlType: ButtonControl}",56.5,1
Build 1 . 0 . 0 . 276 . ECB-34 Edit A Project suite . C1596: Edit a project,Edit a project Aim: To validate editing of project Author: Aniruddha Sankoli,C1596,yes,FAIL,Error raised since Project Description is read only and thus not editable,107.0,1
Build 1 . 0 . 0 . 276 . ECB-459 View DALI Devices on DALI Line Suite . C3020: View DALI Devices on a DALI Line as Admin,View C-Bus DALI Device on a DALI line as Admin Aim: To validate viewing C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,C3020,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",96.3,0
Build 1 . 0 . 0 . 276 . ECB-460 Add and Delete DALI Devices on DALI Line . C2977: Add DALI Devices on a DALI Line as Admin,Add C-Bus DALI Device on a DALI line as Admin Aim: To validate adding C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,AddDALIDevice_Admin,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",96.1,0
Build 1 . 0 . 0 . 276 . ECB-460 Add and Delete DALI Devices on DALI Line . C2980: Delete DALI Devices on a DALI Line as Admin,Delete C-Bus DALI Device on a DALI line as Admin Aim: To validate deleting C-Bus DALI Device on a DALI line as Admin Author: Aniruddha Sankoli,ADeleteDALIDevice_Admin,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.7,0
Build 1 . 0 . 0 . 276 . ECB-54 View Networks In The Project Suite . C2072: Admin View Networks in the Project,View Networks in the project with Admin account Aim: To validate viewing networks in the project with a Admin account Author: Aniruddha Sankoli,C2072,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",96.0,0
Build 1 . 0 . 0 . 276 . ECB-56 Create CBus Network Suite . C18833: Admin Create a C-bus Network- Ethernet-Automation controller,Create Networks with Ethernet-Automation in the project with Project Manager account Aim: To validate creating networks in the project with a Project Manager account Author: Aniruddha Sankoli,C18833,yes,FAIL,Error raised since Add Network window presence status was found to be False,146.8,0
Build 1 . 0 . 0 . 276 . ECB-56 Create CBus Network Suite . C18835: Admin Create a C-bus Network- Ethernet-Automation controller-Wiser,Create Networks with Ethernet-Wiser in the project with Project Manager account Aim: To validate creating networks in the project with a Project Manager account Author: Aniruddha Sankoli,C18835,yes,FAIL,Error raised since Add Network window presence status was found to be False,146.8,0
Build 1 . 0 . 0 . 276 . ECB-56 Create CBus Network Suite . C18836: Admin Create a C-bus Network- Serial-PCI,Create Networks with Serial-PCI in the project with Project Manager account Aim: To validate creating networks in the project with a Project Manager account Author: Aniruddha Sankoli,C18836,yes,FAIL,Error raised since Add Network window presence status was found to be False,146.8,0
Build 1 . 0 . 0 . 276 . ECB-56 Create CBus Network Suite . C2056: Admin Create a C-bus Network- Ethernet-CNI,Create Networks with Ethernet-CNI in the project with Admin account Aim: To validate creating networks in the project with a Admin account Author: Aniruddha Sankoli,C2056,yes,FAIL,Error raised since Add Network window presence status was found to be False,146.7,0
Build 1 . 0 . 0 . 276 . ECB-58 Edit Selected cBus Network . C5144: Edit the selected C-Bus Network,"Design workspace, edit C-Bus Newtwork Aim: To validate editing C-Bus network in Design worksapce Author: Aniruddha Sankoli",C5144,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",96.0,0
Build 1 . 0 . 0 . 276 . ECB-59 Delete Selected C-Bus Network Suite . C2954: Delete the selected C-Bus Network as admin,Delete Network in the project with Admin account Aim: To validate deleting networks in the project with an Admin account Author: Aniruddha Sankoli,C2954,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.9,0
Build 1 . 0 . 0 . 276 . ECB-609 View C-Bus Fixture Library Suite . C2958: View C-Bus Fixture Library as Admin,View C-Bus Fixture Library in the project with Admin account Aim: To validate viewing C-Bus Fixture Library in the project with a Worker account Author: Aniruddha Sankoli,C2958,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.8,0
Build 1 . 0 . 0 . 276 . ECB-610 Add C-Bus Devices to Network using selected Fixture Entry . C2974: Add C-Bus Devices to Network using selected Fixture Entry as Admin,Add C-Bus Devices to Network using selected Fixture Entry with Admin account Aim: To validate adding C-Bus Devices to Network using selected Fixture Entry with a Admin account Author: Aniruddha Sankoli,AddcBusDevice_Admin,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.9,0
Build 1 . 0 . 0 . 276 . ECB-611 Delete CBus Device from a Network . C3538: Delete C-Bus Device from a Network as admin,Delete C-Bus Device from a Network as admin Aim: To validate deleting C-Bus Device from a Network as admin Author: Aniruddha Sankoli,C3538,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.8,0
Build 1 . 0 . 0 . 276 . ECB-613 View DALI Fixture Library Suite . C2983: View DALI Fixture Library as admin,View DALI Fixture Library in the project with Admin account Aim: To validate viewing DALI Fixture Library in the project with a Worker account Author: Aniruddha Sankoli,C2983,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.8,0
Build 1 . 0 . 0 . 276 . ECB-628 Deployment Open Network Using CBus Network Interface Suite . C8964: [Deployment] Open Network using C-Bus Network Interface,Deployment- Open Network using C-Bus Network Interface Aim: To validate opening Network in Deployment using C-Bus Network Interface Author: Aniruddha Sankoli,C8964,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.8,0
Build 1 . 0 . 0 . 276 . ECB-661 ECB-458 View DALI Lines for a DALI Gateway . C2971: View DALI Lines for a DALI Gateway as admin,View DALI Lines for a DALI Gateway as admin Aim: To validate viewing DALI Lines for a DALI Gateway as admin Author: Aniruddha Sankoli,C2971,yes,FAIL,"LookupError: Find Control Timeout: {AutomationId: 'NameTextBox', ControlType: EditControl}",95.9,0
